control
([50, 'mae', None, 50, True, 1], 0.008057183496877892)
([50, 'mae', None, 50, True, 10], 0.0078254901584567747)
([50, 'mae', None, 50, True, 50], 0.019166556406096897)
([50, 'mae', None, 50, False, 1], 0.0090117068066296671)
([50, 'mae', None, 50, False, 10], 0.0090117068066296671)
([50, 'mae', None, 50, False, 50], 0.014011996370374275)
([100, 'mse', 10, 2, True, 1], 0.0013881240562687606)
([100, 'mse', 10, 2, True, 10], 0.0040230887390302625)
([100, 'mse', 10, 2, True, 50], 0.0172528968364936)
([100, 'mse', 10, 2, False, 1], 0.0013977466428292693)
([100, 'mse', 10, 2, False, 10], 0.003943827916197875)
([100, 'mse', 10, 2, False, 50], 0.016197018806012781)
([100, 'mse', 10, 10, True, 1], 0.0015088713488166645)
([100, 'mse', 10, 10, True, 10], 0.0039891733402162731)
([100, 'mse', 10, 10, True, 50], 0.018010832926437993)
([100, 'mse', 10, 10, False, 1], 0.0017525542157448648)
([100, 'mse', 10, 10, False, 10], 0.0039436959784868641)
([100, 'mse', 10, 10, False, 50], 0.016197018806012788)
([100, 'mse', 10, 50, True, 1], 0.0083681042463103691)
([100, 'mse', 10, 50, True, 10], 0.0086121068654246204)
([100, 'mse', 10, 50, True, 50], 0.018096676127620465)
([100, 'mse', 10, 50, False, 1], 0.0092861244988656864)
([100, 'mse', 10, 50, False, 10], 0.0092526686504718902)
([100, 'mse', 10, 50, False, 50], 0.016197018806012781)
([100, 'mse', 20, 2, True, 1], 0.0014044352697957362)
([100, 'mse', 20, 2, True, 10], 0.0041075300790004536)
([100, 'mse', 20, 2, True, 50], 0.01774857218021425)
([100, 'mse', 20, 2, False, 1], 0.0014393068969282584)
([100, 'mse', 20, 2, False, 10], 0.0039437179681053678)
([100, 'mse', 20, 2, False, 50], 0.016197018806012781)
([100, 'mse', 20, 10, True, 1], 0.0016412306194413277)
([100, 'mse', 20, 10, True, 10], 0.0039551809186785768)
([100, 'mse', 20, 10, True, 50], 0.018054488468802442)
([100, 'mse', 20, 10, False, 1], 0.0017525542157448648)
([100, 'mse', 20, 10, False, 10], 0.0039434321030648312)
([100, 'mse', 20, 10, False, 50], 0.016197018806012785)
([100, 'mse', 20, 50, True, 1], 0.0085786760835178024)
([100, 'mse', 20, 50, True, 10], 0.0086968465645860926)
([100, 'mse', 20, 50, True, 50], 0.018773024305353651)
([100, 'mse', 20, 50, False, 1], 0.009286124498865695)
([100, 'mse', 20, 50, False, 10], 0.0092526686504718937)
([100, 'mse', 20, 50, False, 50], 0.016197018806012788)
([100, 'mse', None, 2, True, 1], 0.0013733324566489299)
([100, 'mse', None, 2, True, 10], 0.0040224985416851362)
([100, 'mse', None, 2, True, 50], 0.01791230252445412)
([100, 'mse', None, 2, False, 1], 0.0013887133093444162)
([100, 'mse', None, 2, False, 10], 0.0039438059265793721)
([100, 'mse', None, 2, False, 50], 0.016197018806012781)
([100, 'mse', None, 10, True, 1], 0.0016565232827517348)
([100, 'mse', None, 10, True, 10], 0.0040272109908958851)
([100, 'mse', None, 10, True, 50], 0.018497293892425385)
([100, 'mse', None, 10, False, 1], 0.0017525542157448648)
([100, 'mse', None, 10, False, 10], 0.0039436959784868563)
([100, 'mse', None, 10, False, 50], 0.016197018806012781)
([100, 'mse', None, 50, True, 1], 0.0084849972727159568)
([100, 'mse', None, 50, True, 10], 0.0082755205412954717)
([100, 'mse', None, 50, True, 50], 0.017660227026498103)
([100, 'mse', None, 50, False, 1], 0.0092861244988656864)
([100, 'mse', None, 50, False, 10], 0.0092526686504718972)
([100, 'mse', None, 50, False, 50], 0.016197018806012781)
([100, 'mae', 10, 2, True, 1], 0.0014453262258651138)
([100, 'mae', 10, 2, True, 10], 0.0048405199460676467)
([100, 'mae', 10, 2, True, 50], 0.019427136907043611)
([100, 'mae', 10, 2, False, 1], 0.0013837376597725889)
([100, 'mae', 10, 2, False, 10], 0.0057343129296150803)
([100, 'mae', 10, 2, False, 50], 0.014011996370374568)
([100, 'mae', 10, 10, True, 1], 0.0019201964723880756)
([100, 'mae', 10, 10, True, 10], 0.0049496757253364174)
([100, 'mae', 10, 10, True, 50], 0.019009648151628256)
([100, 'mae', 10, 10, False, 1], 0.0015117661520787859)
([100, 'mae', 10, 10, False, 10], 0.0057343129296150803)
([100, 'mae', 10, 10, False, 50], 0.014011996370374568)
([100, 'mae', 10, 50, True, 1], 0.0079518297121424133)
([100, 'mae', 10, 50, True, 10], 0.00780965022971504)
([100, 'mae', 10, 50, True, 50], 0.019069840499622237)
([100, 'mae', 10, 50, False, 1], 0.0090117068066298787)
([100, 'mae', 10, 50, False, 10], 0.0090117068066298787)
([100, 'mae', 10, 50, False, 50], 0.014011996370374568)
([100, 'mae', 20, 2, True, 1], 0.0014076386693370293)
([100, 'mae', 20, 2, True, 10], 0.0049461473509239224)
([100, 'mae', 20, 2, True, 50], 0.018872732421968994)
([100, 'mae', 20, 2, False, 1], 0.0013586326193608972)
([100, 'mae', 20, 2, False, 10], 0.0057343129296150803)
([100, 'mae', 20, 2, False, 50], 0.014011996370374568)
([100, 'mae', 20, 10, True, 1], 0.0016986445584160331)
([100, 'mae', 20, 10, True, 10], 0.0049864714814119209)
([100, 'mae', 20, 10, True, 50], 0.018725890378936724)
([100, 'mae', 20, 10, False, 1], 0.0015217628306175141)
([100, 'mae', 20, 10, False, 10], 0.0057343129296150803)
([100, 'mae', 20, 10, False, 50], 0.014011996370374568)
([100, 'mae', 20, 50, True, 1], 0.007662215357951134)
([100, 'mae', 20, 50, True, 10], 0.0078885353106141545)
([100, 'mae', 20, 50, True, 50], 0.018521495972873177)
([100, 'mae', 20, 50, False, 1], 0.0090117068066298787)
([100, 'mae', 20, 50, False, 10], 0.0090117068066298787)
([100, 'mae', 20, 50, False, 50], 0.014011996370374568)
([100, 'mae', None, 2, True, 1], 0.0013250956836387974)
([100, 'mae', None, 2, True, 10], 0.0049783171614996933)
([100, 'mae', None, 2, True, 50], 0.019373955844127742)
([100, 'mae', None, 2, False, 1], 0.0013382113991487518)
([100, 'mae', None, 2, False, 10], 0.0057343129296150803)
([100, 'mae', None, 2, False, 50], 0.014011996370374568)
([100, 'mae', None, 10, True, 1], 0.0018452543113244525)
([100, 'mae', None, 10, True, 10], 0.0050114787135090554)
([100, 'mae', None, 10, True, 50], 0.018643018319334022)
